Region,date,total_lyme
Southeast,2012-02-01,75
Southeast,2012-03-01,108
Southeast,2012-04-01,129
Southeast,2012-05-01,347
Southeast,2012-06-01,515
Southeast,2012-07-01,375
Southeast,2012-08-01,255
Southeast,2012-09-01,206
Southeast,2012-10-01,153
Southeast,2012-11-01,125
Southeast,2012-12-01,95
Southeast,2013-01-01,85
Southeast,2013-02-01,81
Southeast,2013-03-01,91
Southeast,2013-04-01,125
Southeast,2013-05-01,248
Southeast,2013-06-01,513
Southeast,2013-07-01,454
Southeast,2013-08-01,270
Southeast,2013-09-01,199
Southeast,2013-10-01,193
Southeast,2013-11-01,112
Southeast,2013-12-01,68
Southeast,2014-01-01,59
Southeast,2014-02-01,42
Southeast,2014-03-01,54
Southeast,2014-04-01,127
Southeast,2014-05-01,253
Southeast,2014-06-01,647
Southeast,2014-07-01,599
Southeast,2014-08-01,320
Southeast,2014-09-01,181
Southeast,2014-10-01,150
Southeast,2014-11-01,99
Southeast,2014-12-01,49
Southeast,2015-01-01,76
Southeast,2015-02-01,62
Southeast,2015-03-01,76
Southeast,2015-04-01,144
Southeast,2015-05-01,312
Southeast,2015-06-01,860
Southeast,2015-07-01,743
Southeast,2015-08-01,319
Southeast,2015-09-01,241
Southeast,2015-10-01,213
Southeast,2015-11-01,123
Southeast,2015-12-01,89
Southeast,2016-01-01,105
Southeast,2016-02-01,80
Southeast,2016-03-01,139
Southeast,2016-04-01,206
Southeast,2016-05-01,329
Southeast,2016-06-01,705
Southeast,2016-07-01,606
Southeast,2016-08-01,305
Southeast,2016-09-01,237
Southeast,2016-10-01,207
Southeast,2016-11-01,131
Southeast,2016-12-01,85
Southeast,2017-01-01,118
Southeast,2017-02-01,93
Southeast,2017-03-01,119
Southeast,2017-04-01,185
Southeast,2017-05-01,416
Southeast,2017-06-01,857
Southeast,2017-07-01,687
Southeast,2017-08-01,354
Southeast,2017-09-01,230
Southeast,2017-10-01,190
Southeast,2017-11-01,134
Southeast,2017-12-01,89
Southwest,2004-01-01,3
Southwest,2004-04-01,2
Southwest,2004-05-01,3
Southwest,2004-06-01,6
Southwest,2004-07-01,8
Southwest,2004-08-01,4
Southwest,2004-10-01,1
Southwest,2004-11-01,3
Southwest,2005-01-01,3
Southwest,2005-02-01,4
Southwest,2005-03-01,4
Southwest,2005-04-01,2
Southwest,2005-05-01,4
Southwest,2005-06-01,3
Southwest,2005-07-01,2
Southwest,2005-08-01,5
Southwest,2005-09-01,2
Southwest,2005-10-01,1
Southwest,2006-02-01,2
Southwest,2006-05-01,3
Southwest,2006-07-01,7
Southwest,2006-08-01,1
Southwest,2006-09-01,1
Southwest,2006-10-01,1
Southwest,2006-11-01,1
Southwest,2006-12-01,1
Southwest,2007-01-01,5
Southwest,2007-02-01,2
Southwest,2007-03-01,4
Southwest,2007-04-01,1
Southwest,2007-05-01,9
Southwest,2007-06-01,5
Southwest,2007-07-01,11
Southwest,2007-08-01,4
Southwest,2007-09-01,4
Southwest,2007-10-01,3
Southwest,2007-11-01,3
Southwest,2008-01-01,2
Southwest,2008-02-01,8
Southwest,2008-03-01,5
Southwest,2008-04-01,10
Southwest,2008-05-01,6
Southwest,2008-06-01,9
Southwest,2008-07-01,12
Southwest,2008-08-01,11
Southwest,2008-09-01,10
Southwest,2008-10-01,8
Southwest,2008-11-01,2
Southwest,2008-12-01,7
Southwest,2009-01-01,8
Southwest,2009-02-01,5
Southwest,2009-03-01,7
Southwest,2009-04-01,7
Southwest,2009-05-01,12
Southwest,2009-06-01,21
Southwest,2009-07-01,19
Southwest,2009-08-01,16
Southwest,2009-09-01,17
Southwest,2009-10-01,10
Southwest,2009-11-01,9
Southwest,2009-12-01,2
Southwest,2010-01-01,3
Southwest,2010-02-01,13
Southwest,2010-03-01,10
Southwest,2010-04-01,8
Southwest,2010-05-01,12
Southwest,2010-06-01,10
Southwest,2010-07-01,14
Southwest,2010-08-01,11
Southwest,2010-09-01,10
Southwest,2010-10-01,6
Southwest,2010-12-01,5
Southwest,2011-01-01,2
Southwest,2011-02-01,3
Southwest,2011-03-01,4
Southwest,2011-04-01,8
Southwest,2011-05-01,7
Southwest,2011-06-01,8
Southwest,2011-07-01,16
Southwest,2011-08-01,7
Southwest,2011-09-01,8
Southwest,2011-10-01,7
Southwest,2011-11-01,2
Southwest,2011-12-01,5
Southwest,2012-01-01,4
Southwest,2012-02-01,1
Southwest,2012-03-01,4
Southwest,2012-04-01,8
Southwest,2012-05-01,2
Southwest,2012-06-01,9
Southwest,2012-07-01,17
Southwest,2012-08-01,10
Southwest,2012-09-01,7
Southwest,2012-10-01,5
Southwest,2012-11-01,7
Southwest,2012-12-01,5
Southwest,2013-01-01,7
Southwest,2013-02-01,4
Southwest,2013-03-01,5
Southwest,2013-04-01,10
Southwest,2013-05-01,6
Southwest,2013-06-01,8
Southwest,2013-07-01,9
Southwest,2013-08-01,16
Southwest,2013-09-01,11
Southwest,2013-10-01,9
Southwest,2013-11-01,1
Southwest,2013-12-01,2
Southwest,2014-03-01,1
Southwest,2014-04-01,4
Southwest,2014-05-01,3
Southwest,2014-06-01,5
Southwest,2014-07-01,12
Southwest,2014-08-01,4
Southwest,2014-09-01,4
Southwest,2014-11-01,3
Southwest,2014-12-01,2
Southwest,2015-02-01,2
Southwest,2015-04-01,3
Southwest,2015-05-01,2
Southwest,2015-06-01,7
Southwest,2015-07-01,14
Southwest,2015-08-01,11
Southwest,2015-09-01,8
Southwest,2015-10-01,3
Southwest,2015-11-01,4
Southwest,2016-01-01,5
Southwest,2016-02-01,1
Southwest,2016-03-01,2
Southwest,2016-04-01,2
Southwest,2016-05-01,5
Southwest,2016-06-01,16
Southwest,2016-07-01,11
Southwest,2016-08-01,7
Southwest,2016-09-01,3
Southwest,2016-10-01,6
Southwest,2016-11-01,3
Southwest,2016-12-01,5
Southwest,2017-01-01,2
Southwest,2017-02-01,3
Southwest,2017-03-01,4
Southwest,2017-04-01,1
Southwest,2017-05-01,6
Southwest,2017-06-01,13
Southwest,2017-07-01,21
Southwest,2017-08-01,11
Southwest,2017-09-01,5
Southwest,2017-10-01,2
Southwest,2017-11-01,1
Southwest,2017-12-01,1
West,2004-01-01,1
West,2004-02-01,3
West,2004-03-01,1
West,2004-04-01,3
West,2004-05-01,10
West,2004-06-01,7
West,2004-07-01,17
West,2004-08-01,4
West,2004-09-01,4
West,2004-10-01,3
West,2004-11-01,1
West,2004-12-01,1
West,2005-01-01,3
West,2005-03-01,1
West,2005-04-01,2
West,2005-05-01,5
West,2005-06-01,14
West,2005-07-01,19
West,2005-08-01,11
West,2005-09-01,5
West,2005-11-01,5
West,2005-12-01,1
West,2006-01-01,2
West,2006-02-01,2
West,2006-03-01,2
West,2006-04-01,2
West,2006-05-01,4
West,2006-06-01,17
West,2006-07-01,19
West,2006-08-01,8
West,2006-09-01,13
West,2006-10-01,4
West,2006-11-01,4
West,2007-01-01,3
West,2007-02-01,2
West,2007-03-01,4
West,2007-04-01,6
West,2007-05-01,6
West,2007-06-01,20
West,2007-07-01,28
West,2007-08-01,11
West,2007-09-01,4
West,2007-10-01,8
West,2007-11-01,4
West,2007-12-01,2
West,2008-01-01,5
West,2008-02-01,2
West,2008-03-01,4
West,2008-04-01,3
West,2008-05-01,6
West,2008-06-01,14
West,2008-07-01,44
West,2008-08-01,23
West,2008-09-01,7
West,2008-10-01,8
West,2008-11-01,6
West,2008-12-01,3
West,2009-01-01,3
West,2009-02-01,7
West,2009-03-01,1
West,2009-04-01,5
West,2009-05-01,14
West,2009-06-01,18
West,2009-07-01,25
West,2009-08-01,18
West,2009-09-01,11
West,2009-10-01,2
West,2009-11-01,4
West,2009-12-01,1
West,2010-01-01,7
West,2010-02-01,4
West,2010-03-01,4
West,2010-04-01,10
West,2010-05-01,15
West,2010-06-01,26
West,2010-07-01,23
West,2010-08-01,14
West,2010-09-01,9
West,2010-10-01,6
West,2010-11-01,6
West,2010-12-01,3
West,2011-01-01,1
West,2011-02-01,2
West,2011-04-01,2
West,2011-05-01,3
West,2011-06-01,22
West,2011-07-01,36
West,2011-08-01,23
West,2011-09-01,4
West,2011-10-01,4
West,2011-11-01,5
West,2011-12-01,6
West,2012-01-01,6
West,2012-02-01,4
West,2012-03-01,6
West,2012-04-01,7
West,2012-05-01,12
West,2012-06-01,17
West,2012-07-01,24
West,2012-08-01,11
West,2012-09-01,10
West,2012-10-01,9
West,2012-11-01,3
West,2012-12-01,1
West,2013-01-01,1
West,2013-02-01,6
West,2013-03-01,6
West,2013-04-01,8
West,2013-05-01,18
West,2013-06-01,39
West,2013-07-01,45
West,2013-08-01,36
West,2013-09-01,17
West,2013-10-01,9
West,2013-11-01,8
West,2014-01-01,5
West,2014-02-01,3
West,2014-03-01,3
West,2014-04-01,4
West,2014-05-01,9
West,2014-06-01,18
West,2014-07-01,35
West,2014-08-01,15
West,2014-09-01,8
West,2014-10-01,5
West,2014-11-01,4
West,2014-12-01,1
West,2015-01-01,5
West,2015-02-01,3
West,2015-03-01,6
West,2015-04-01,14
West,2015-05-01,15
West,2015-06-01,18
West,2015-07-01,36
West,2015-08-01,21
West,2015-09-01,12
West,2015-10-01,9
West,2015-11-01,4
West,2015-12-01,1
West,2016-01-01,2
West,2016-02-01,5
West,2016-03-01,6
West,2016-04-01,17
West,2016-05-01,14
West,2016-06-01,38
West,2016-07-01,47
West,2016-08-01,40
West,2016-09-01,17
West,2016-10-01,14
West,2016-11-01,7
West,2016-12-01,8
West,2017-01-01,9
West,2017-02-01,9
West,2017-03-01,13
West,2017-04-01,10
West,2017-05-01,20
West,2017-06-01,34
West,2017-07-01,55
West,2017-08-01,27
West,2017-09-01,15
West,2017-10-01,10
West,2017-11-01,6
West,2017-12-01,4
